id,title,description,creator,year,completeness,country,dataProvider,edmPreview,imageWidth,imageHeight,type
/2048047/Clasate_12aa7de1bf0e4f9592f3a390b977a9e2,,http://vocab.getty.edu/aat/300021502,"Ziffer, Sándor (Alexandru), http://vocab.getty.edu/ulan/500183191, http://data.europeana.eu/agent/53537",,0,Romania,Museum of Art Cluj-Napoca,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fresource.culturalia.ro%2Fimagini-clasate%2Fimagini21%2F83ffc7df7edd489980c6a0a5e9a7e1f6.jpg&type=IMAGE,0,0,IMAGE
/951/Culturalia_1472fa08_acd9_11d9_ae7e_0050fccf2e52,,,Becu Alexandrina,,0,Romania,Moldova National Museum Complex,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fresource.culturalia.ro%2Fpublic%2F2000%2F01%2F01%2F_IS-CNM-validat-spre-import_2021_03%2520Martie%25202021_OTILIA_Catalogator%2520-%2520Menola%2520Iutis%2520martie%25202020_docpatv495%2FImagini%2F1F8657FE0D694DC8A676CB44C49C588B.tif&type=IMAGE,0,0,IMAGE
/2024903/photography_ProvidedCHO_KU_Leuven_9992113379301488,,,,,0,Belgium,Catholic University of Leuven,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Flib.is%2FIE2417876%2Fstream%3Fquality%3DLOW&type=IMAGE,0,0,IMAGE
/951/Culturalia_c70d8180_9470_4fe1_9140_ba722a510b85,,,Alupi Călin,,0,Romania,Moldova National Museum Complex,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fresource.culturalia.ro%2Fpublic%2F2000%2F01%2F01%2F_IS-CNM-validat-spre-import_2021_01%2520Ianuarie%25202021_OTILIA_Catalogator%2520Minola%2520Iutis%2520-%2520Noiembrie_docpatv495%2FImagini2%2F2A8C116A9250485685C07D5FECB3E062.tif&type=IMAGE,0,0,IMAGE
/2048047/Clasate_08c649d6ebcb479d8ed5ade93299cf34,,,"Padina, Alexandru Moser",,0,Romania,National Museum of Art of Romania,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fresource.culturalia.ro%2Fimagini-clasate%2Fimagini49%2F06940e9bc96449939cab4eaadfe17ce3.jpg&type=IMAGE,0,0,IMAGE
/951/Culturalia_272be1e3_dfb9_49d9_8d88_8b03d9c2aaf9,,,"Calafateanu, Constantin",,0,Romania,Gavrilă Simion Eco-Museum Research Institute Tulcea,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fresource.culturalia.ro%2Fpublic%2F2000%2F01%2F01%2F_TL-ICEM_2019_06_iunie_Tocanie_Catalogare_Gabriela%2520Radu_Bibliograf_IUNIE%25202019_Gabriela%2520Radu_Docpat_Iunie%25202019_DOCPAT_docpatv49_DOCPATv49%2FImagini%2F47204FCFBE1648E3AF1858FEFF7E9486.tif&type=IMAGE,0,0,IMAGE
/951/Culturalia_9f7d89c8_7468_4df5_8cab_b83c53b4e8ad,,,Iser Iosif,,0,Romania,Moldova National Museum Complex,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fresource.culturalia.ro%2Fpublic%2F2000%2F01%2F01%2F_IS-CNM-validat-spre-import_2021_02%2520Februarie%25202021_OTILIA_Catalogator%2520Minola%2520Iutis%2520-%2520Octombrie_docpatv495%2FImagini2%2F4C90D2DB67BD438FB55AA9037ED79DD9.tif&type=IMAGE,0,0,IMAGE
/2048047/Clasate_e22817b41456439cb12bb053eb2a1c9a,,http://vocab.getty.edu/aat/300021508,"Gramatica, Antiveduto",,0,Romania,Museum of Art Cluj-Napoca,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fresource.culturalia.ro%2Fimagini-clasate%2Fimagini21%2F847cd14d62dd494aa6e160a60fbda992.jpg&type=IMAGE,0,0,IMAGE
/2048047/Clasate_d307fa98a57b4a49b78da532da75093f,,http://vocab.getty.edu/aat/300172861,"http://data.europeana.eu/agent/59666, Băeșu, Aurel, http://vocab.getty.edu/ulan/500063386",,0,Romania,Neamț National Museum Complex,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fresource.culturalia.ro%2Fimagini-clasate%2Fimagini36%2F2b796a5da2b04ba49baf606156acbf1a.jpg&type=IMAGE,0,0,IMAGE
/22/_2097,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_bovini_archive%2F003_010_002097_01.jpg&type=IMAGE,0,0,IMAGE
/951/Culturalia_4b423844_6631_4876_8073_328bf18cf963,,,"http://data.europeana.eu/agent/87538, Ciucurencu, Alexandru, http://vocab.getty.edu/ulan/500008565",,0,Romania,Gavrilă Simion Eco-Museum Research Institute Tulcea,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fresource.culturalia.ro%2Fpublic%2F2000%2F01%2F01%2F_TL-ICEM_2019_05_mai_Tocanie_Catalogare_Radu%2520Gabriela_Bibliograf_MAI%25202019_Radu%2520Gabriela%2520Docpat_Mai%25202019_DOCPATv49%2FImagini%2F530FC9E823A5438AAB2294488A793188.tif&type=IMAGE,0,0,IMAGE
/440/item_W4TZNA5KNLJVXYLXW6OPOSYR2LAPU675,,,,,0,Germany,Deutsche Fotothek,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Ffotothek.slub-dresden.de%2Ffotos%2Fdf_hauptkatalog_0024875.jpg&type=IMAGE,0,0,IMAGE
/2048047/Clasate_742e2df65faa473b992be1b589ca4547,,,"http://data.europeana.eu/agent/131304, Theodorescu-Sion, Ion, http://vocab.getty.edu/ulan/500111792",,0,Romania,Constanța Art Museum,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fresource.culturalia.ro%2Fimagini-clasate%2Fimagini46%2F13ac03e24f214fceb39222a00cd6f4d9.jpg&type=IMAGE,0,0,IMAGE
/951/Culturalia_70d9506a_e32e_4b12_ac0f_cc97897f8363,,,"Țipoia, Alexandru",,0,Romania,National Museum of Art of Romania,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fresource.culturalia.ro%2Fpublic%2F2000%2F01%2F01%2F_B-MNAR_13%2520ianuarie%25202021_CRISTINA_GINGHINA_cristina%2520ginghina%2520ianuarie%2520docpatv4951%2FImagini%2FAFEBF060D4E042F582C96F769420D83E.tif&type=IMAGE,0,0,IMAGE
/951/Culturalia_1472f9a7_acd9_11d9_ae7e_0050fccf2e52,,,Bălan Aurel,,0,Romania,Moldova National Museum Complex,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fresource.culturalia.ro%2Fpublic%2F2000%2F01%2F01%2F_IS-CNM-validat-spre-import_2021_02%2520Februarie%25202021_OTILIA_Catalogator%2520Minola%2520Iutis%2520-%2520Octombrie_docpatv495%2FImagini2%2F0872E079488941D7ABF40F3D3374BDDA.tif&type=IMAGE,0,0,IMAGE
/1190/INP_postcards_3358,,,,,0,Romania,"National Heritage Institute, Bucharest",https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fcartipostale.cimec.ro%2FColectia%2F11%2FSTOMFF_CP_21_0155_a_001377.jpg&type=IMAGE,0,0,IMAGE
/22/_2157,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_bovini_archive%2F003_010_002157_01.jpg&type=IMAGE,0,0,IMAGE
/22/_2167,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_bovini_archive%2F003_010_002167_01.jpg&type=IMAGE,0,0,IMAGE
/951/Culturalia_3dd4f59f_9a7b_4d60_b5ab_05b7e286337d,,,"Popescu, Gabriel",,0,Romania,Gavrilă Simion Eco-Museum Research Institute Tulcea,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fresource.culturalia.ro%2Fpublic%2F2000%2F01%2F01%2F_TL-ICEM_2020_06_iunie_Tocanie_Catalogare_Alice%2520Fanaru_iunie%25202020_docpatv495%2FImagini%2F9962B31A709D420CA7232DC3DD4DA216.tif&type=IMAGE,0,0,IMAGE
/22/_2214,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_bovini_archive%2F003_010_002214_01.jpg&type=IMAGE,0,0,IMAGE
