id,title,description,creator,date,license,image_url,local_path
"File:""Conservarea"" patrimoniului arhitectonic - Heritage ""Preservation"" in Bucharest - horror (5033934440).jpg","""Conservarea"" patrimoniului arhitectonic - Heritage ""Preservation"" in Bucharest - horror (5033934440).jpg",,Babu,,,,"data/wikimedia/thumbnails/File_""Conservarea""_patrimoniului_arhitectonic_-_Heritage_""Preservation""_in_Bucharest_-_horror_(5033934440).jpg.jpg"
File:1-Raul Mara - panoramio.jpg,1-Raul Mara - panoramio.jpg,,Panoramio upload bot,,,,data/wikimedia/thumbnails/File_1-Raul_Mara_-_panoramio.jpg.jpg
File:1timpuri-noivechi.webp,1timpuri-noivechi.webp,,I.zamfir,,,,data/wikimedia/thumbnails/File_1timpuri-noivechi.webp.jpg
File:20140702 Bucureşti 126.jpg,20140702 Bucureşti 126.jpg,,Mark Ahsmann,,,,data/wikimedia/thumbnails/File_20140702_Bucureşti_126.jpg.jpg
File:20140702 Bucureşti 135.jpg,20140702 Bucureşti 135.jpg,,Mark Ahsmann,,,,data/wikimedia/thumbnails/File_20140702_Bucureşti_135.jpg.jpg
File:20140702 Bucureşti 149.jpg,20140702 Bucureşti 149.jpg,,Mark Ahsmann,,,,data/wikimedia/thumbnails/File_20140702_Bucureşti_149.jpg.jpg
File:20140816 București 154.jpg,20140816 București 154.jpg,,Mark Ahsmann,,,,data/wikimedia/thumbnails/File_20140816_București_154.jpg.jpg
File:20140816 București 190.jpg,20140816 București 190.jpg,,Mark Ahsmann,,,,data/wikimedia/thumbnails/File_20140816_București_190.jpg.jpg
File:20140817 București 055.jpg,20140817 București 055.jpg,,Mark Ahsmann,,,,data/wikimedia/thumbnails/File_20140817_București_055.jpg.jpg
File:20140820 București 100.jpg,20140820 București 100.jpg,,Mark Ahsmann,,,,data/wikimedia/thumbnails/File_20140820_București_100.jpg.jpg
File:2017 Academia oamenilor de stiinta.jpg,2017 Academia oamenilor de stiinta.jpg,,Babu,,,,data/wikimedia/thumbnails/File_2017_Academia_oamenilor_de_stiinta.jpg.jpg
File:20260523 113146 May 2026 in Bucharest.jpg,20260523 113146 May 2026 in Bucharest.jpg,,Rakoon,,,,data/wikimedia/thumbnails/File_20260523_113146_May_2026_in_Bucharest.jpg.jpg
File:20260523 142611 May 2026 in Bucharest.jpg,20260523 142611 May 2026 in Bucharest.jpg,,Rakoon,,,,data/wikimedia/thumbnails/File_20260523_142611_May_2026_in_Bucharest.jpg.jpg
