path,mse,source,completeness,title
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-21.jpg,0.6266961097717285,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-12.jpg,1.0572184324264526,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-100.jpg,0.7531107068061829,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-54.jpg,0.6454330682754517,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-38.jpg,0.604692816734314,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-58.jpg,0.7633330821990967,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-61.jpg,1.3453943729400637,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-101.jpg,0.7510956525802612,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-26.jpg,0.416556566953659,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-72.jpg,1.2272834777832031,tzigara,0.5,"Casa meşterului Antonie Mogoş(Imagine exterioară – vedere de ansamblu), desen"
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-116.jpg,1.496878743171692,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-73.jpg,0.8066299557685852,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/9-92.jpg,1.150112867355347,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-67.jpg,0.4855273365974426,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-64.jpg,1.0097813606262207,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/19-82.jpg,0.2708246409893036,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-14.jpg,0.8200761675834656,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-26.jpg,0.8341343998908997,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-9.jpg,1.1911965608596802,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-1.jpg,0.5497115850448608,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-34.jpg,0.8550301790237427,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-72.jpg,1.0442876815795898,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-113.jpg,0.8855910301208496,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/9-16.jpg,1.3220808506011963,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-91.jpg,0.9120104312896729,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-44.jpg,1.1265027523040771,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-30.jpg,0.8976476788520813,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-89.jpg,0.7663009166717529,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-10.jpg,1.1025182008743286,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-81.jpg,0.4628876149654388,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-34.jpg,0.7617790699005127,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-65.jpg,0.4516789317131042,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-73.jpg,0.5046024322509766,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-48.jpg,0.4943243563175201,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-49.jpg,0.8568857312202454,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-34.jpg,1.2071354389190674,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-93.jpg,0.4483173787593841,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-17.jpg,0.639504075050354,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-77.jpg,1.1022224426269531,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-34.jpg,0.5744131207466125,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-6.jpg,0.5499320030212402,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-10.jpg,0.7140479683876038,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/17-58.jpg,0.9614262580871582,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-48.jpg,0.8464734554290771,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-51.jpg,0.5021074414253235,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-12.jpg,0.9889448285102844,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-27.jpg,0.7888436913490295,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-91.jpg,0.921071231365204,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-85.jpg,1.081606149673462,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-15.jpg,0.4456780850887298,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-71.jpg,0.6385418772697449,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-72.jpg,0.7173047661781311,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/9-96.jpg,0.6196339130401611,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-61.jpg,1.0576993227005005,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-97.jpg,0.4357045292854309,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-20.jpg,0.6432279348373413,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/12-41.jpg,0.7304392457008362,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-11.jpg,0.6557955741882324,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/17-2.jpg,0.7207939624786377,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-13.jpg,0.8876747488975525,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/17-57.jpg,0.4236114919185638,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/12-59.jpg,0.3224085569381714,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-85.jpg,0.3341269493103027,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-95.jpg,1.1077178716659546,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-33.jpg,1.0107241868972778,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-17.jpg,0.921966314315796,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-8.jpg,0.7506620287895203,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/12-17.jpg,0.6548300981521606,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/12-22.jpg,0.8021175861358643,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/9-35.jpg,0.4801469147205353,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/12-52.jpg,0.5282738208770752,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-87.jpg,0.699449896812439,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-89.jpg,1.1805351972579956,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-39.jpg,0.7926297187805176,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-7.jpg,0.5428261160850525,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-54.jpg,1.0606675148010254,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-86.jpg,0.8273482918739319,tzigara,0.5,"Biserica „Intrarea în Biserică” a Mănăstirii Lainici(Imagine exterioară – vedere dinspre sud), fotografie"
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-79.jpg,1.033355474472046,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-39.jpg,0.8436954617500305,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-57.jpg,0.5493301153182983,tzigara,0.0,
