path,mse,source,completeness,title,width,height,aspect_ratio,is_grayscale,jpeg_quality,mean_saturation,dynamic_range
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-21.jpg,0.6266961097717285,tzigara,0.0,,400.0,266.0,1.5038,0.0,59.0,2.39,254.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-12.jpg,1.0572184324264526,tzigara,0.0,,400.0,437.0,0.9153,0.0,60.0,74.96,250.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-100.jpg,0.7531107068061829,tzigara,0.0,,400.0,348.0,1.1494,0.0,68.0,34.05,254.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-54.jpg,0.6454330682754517,tzigara,0.0,,400.0,430.0,0.9302,0.0,64.0,43.65,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-38.jpg,0.604692816734314,tzigara,0.0,,400.0,354.0,1.1299,0.0,65.0,2.18,252.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-58.jpg,0.7633330821990967,tzigara,0.0,,400.0,466.0,0.8584,0.0,62.0,76.32,246.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-61.jpg,1.3453943729400637,tzigara,0.0,,400.0,335.0,1.194,0.0,60.0,0.19,251.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-101.jpg,0.7510956525802612,tzigara,0.0,,400.0,474.0,0.8439,0.0,63.0,0.39,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-26.jpg,0.416556566953659,tzigara,0.0,,391.0,500.0,0.782,0.0,67.0,21.71,249.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-72.jpg,1.2272834777832031,tzigara,0.5,"Casa meşterului Antonie Mogoş(Imagine exterioară – vedere de ansamblu), desen",400.0,282.0,1.4184,0.0,58.0,0.28,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-116.jpg,1.496878743171692,tzigara,0.0,,382.0,500.0,0.764,0.0,65.0,57.24,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-73.jpg,0.8066299557685852,tzigara,0.0,,400.0,286.0,1.3986,0.0,63.0,0.19,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/9-92.jpg,1.150112867355347,tzigara,0.0,,397.0,500.0,0.794,0.0,58.0,25.97,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-67.jpg,0.4855273365974426,tzigara,0.0,,360.0,500.0,0.72,0.0,67.0,15.73,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-64.jpg,1.0097813606262207,tzigara,0.0,,400.0,412.0,0.9709,0.0,60.0,77.57,247.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/19-82.jpg,0.2708246409893036,tzigara,0.0,,400.0,261.0,1.5326,0.0,57.0,69.55,247.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-14.jpg,0.8200761675834656,tzigara,0.0,,367.0,500.0,0.734,0.0,62.0,30.56,249.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-26.jpg,0.8341343998908997,tzigara,0.0,,354.0,500.0,0.708,0.0,61.0,50.46,250.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-9.jpg,1.1911965608596802,tzigara,0.0,,249.0,500.0,0.498,0.0,58.0,0.45,246.0
