path,mse
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__99240.jpg,0.2549597322940826
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__99250.jpg,0.647994339466095
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__2167.jpg,0.4988971054553985
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__99249.jpg,0.4557427167892456
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__99239.jpg,0.2621160447597503
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__99253.jpg,0.6652529835700989
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__99219.jpg,0.3313138782978058
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_951_Culturalia_3c024986_d568_4bed_b0a4_034332100f19.jpg,0.1808716207742691
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__99227.jpg,0.5599037408828735
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__99228.jpg,0.3585191965103149
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__2166.jpg,0.6688706874847412
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__99220.jpg,1.2919780015945437
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__99210.jpg,0.6957850456237793
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_2048047_Clasate_12aa7de1bf0e4f9592f3a390b977a9e2.jpg,0.374808520078659
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__99216.jpg,0.8666425943374634
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__99233.jpg,0.165675014257431
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__99215.jpg,0.853740394115448
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__99212.jpg,0.9087634086608888
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__2006.jpg,0.6688905954360962
