path,mse,id,title,description,creator,date,license,image_url,local_path,completeness
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/wikimedia/thumbnails/File_Boekarest_-_verschillende_gebouwen.jpg,1.1285136938095093,File:Boekarest - verschillende gebouwen.jpg,Boekarest - verschillende gebouwen.jpg,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1b/Boekarest_-_verschillende_gebouwen.jpg,~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/wikimedia/thumbnails/File_Boekarest_-_verschillende_gebouwen.jpg,0.2
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/wikimedia/thumbnails/File_20140816_București_190.jpg,0.4782071113586426,File:20140816 București 190.jpg,20140816 București 190.jpg,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/20140816_Bucure%C8%99ti_190.jpg/500px-20140816_Bucure%C8%99ti_190.jpg,~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/wikimedia/thumbnails/File_20140816_București_190.jpg,0.2
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/wikimedia/thumbnails/File_Arhitektura_rumunjskog_glavnog_grada.jpg,0.7126528024673462,File:Arhitektura rumunjskog glavnog grada.jpg,Arhitektura rumunjskog glavnog grada.jpg,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Arhitektura_rumunjskog_glavnog_grada.jpg/500px-Arhitektura_rumunjskog_glavnog_grada.jpg,~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/wikimedia/thumbnails/File_Arhitektura_rumunjskog_glavnog_grada.jpg,0.2
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/wikimedia/thumbnails/File_Bucharest_-_10_Strada_Covaci.jpg,0.6384273171424866,File:Bucharest - 10 Strada Covaci.jpg,Bucharest - 10 Strada Covaci.jpg,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Bucharest_-_10_Strada_Covaci.jpg/500px-Bucharest_-_10_Strada_Covaci.jpg,~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/wikimedia/thumbnails/File_Bucharest_-_10_Strada_Covaci.jpg,0.2
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/wikimedia/thumbnails/File_AleeaAlexandruNr5.JPG,0.7912213206291199,File:AleeaAlexandruNr5.JPG,AleeaAlexandruNr5.JPG,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/AleeaAlexandruNr5.JPG/500px-AleeaAlexandruNr5.JPG,~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/wikimedia/thumbnails/File_AleeaAlexandruNr5.JPG,0.2
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/wikimedia/thumbnails/File_Bucarest2508.JPG,0.6541058421134949,File:Bucarest2508.JPG,Bucarest2508.JPG,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Bucarest2508.JPG/500px-Bucarest2508.JPG,~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/wikimedia/thumbnails/File_Bucarest2508.JPG,0.2
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/wikimedia/thumbnails/File_Arhitektura_rumunjskoga_glavnog_grada.jpg,0.5194552540779114,File:Arhitektura rumunjskoga glavnog grada.jpg,Arhitektura rumunjskoga glavnog grada.jpg,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Arhitektura_rumunjskoga_glavnog_grada.jpg/500px-Arhitektura_rumunjskoga_glavnog_grada.jpg,~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/wikimedia/thumbnails/File_Arhitektura_rumunjskoga_glavnog_grada.jpg,0.2
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/wikimedia/thumbnails/File_20140702_Bucureşti_126.jpg,0.4586886465549469,File:20140702 Bucureşti 126.jpg,20140702 Bucureşti 126.jpg,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/20140702_Bucure%C5%9Fti_126.jpg/500px-20140702_Bucure%C5%9Fti_126.jpg,~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/wikimedia/thumbnails/File_20140702_Bucureşti_126.jpg,0.2
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/wikimedia/thumbnails/File_20140817_București_055.jpg,0.620387613773346,File:20140817 București 055.jpg,20140817 București 055.jpg,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/20140817_Bucure%C8%99ti_055.jpg/500px-20140817_Bucure%C8%99ti_055.jpg,~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/wikimedia/thumbnails/File_20140817_București_055.jpg,0.2
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/wikimedia/thumbnails/File_Bucharest_-_Dâmbovița.jpg,1.2704795598983765,File:Bucharest - Dâmbovița.jpg,Bucharest - Dâmbovița.jpg,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Bucharest_-_D%C3%A2mbovi%C8%9Ba.jpg/500px-Bucharest_-_D%C3%A2mbovi%C8%9Ba.jpg,~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/wikimedia/thumbnails/File_Bucharest_-_Dâmbovița.jpg,0.2
